n,avg_memory
5490,401520
5500,401520
5510,401520
5520,401520
5530,401520
5540,401520
5550,401520
5560,401520
5570,401520
5580,401520
5590,401520
5600,401520
5610,401520
5620,401520
5630,401520
5640,401520
5650,401520
5660,401520
5670,401520
5680,401520
5690,401520
5700,401520
5710,401520
5720,401520
5730,401520
5740,401520
5750,401520
5760,401520
5770,401520
5780,401520
5790,401520
5800,401520
5810,401520
5820,401520
5830,401520
5840,401520
5850,401520
5860,401520
5870,401520
5880,401520
5890,401520
5900,401520
5910,401520
5920,401520
5930,401520
5940,401520
5950,401520
5960,401520
5970,401520
5980,401520
5990,401520
6000,401520
6010,401520
6020,401520
6030,401520
6040,401520
6050,401520
6060,401520
6070,401520
6080,401520
6090,401520
6100,401520
6110,401520
6120,401520
6130,401520
6140,401520
6150,401520
6160,401520
6170,401520
6180,401520
6190,401520
6200,401520
6210,401520
6220,401520
6230,401520
6240,401520
6250,401520
6260,401520
6270,401520
6280,401520
6290,401520
6300,401520
6310,401520
6320,401520
6330,401520
6340,401520
6350,401520
6360,401520
6370,401520
6380,401520
6390,401520
6400,401520
6410,401520
6420,401520
6430,401520
6440,401520
6450,401520
6460,401520
6470,401520
6480,401520
6490,401520
6500,401520
6510,401520
6520,401520
6530,401520
6540,401520
6550,401520
6560,401520
6570,401520
6580,401520
6590,401520
6600,401520
6610,401520
6620,401520
6630,401520
6640,401520
6650,401520
6660,401520
6670,401520
6680,401520
6690,401520
6700,401520
6710,401520
6720,401520
6730,401520
6740,401520
6750,401520
6760,401520
6770,401520
6780,401520
6790,401520
6800,401520
6810,401520
6820,401520
6830,401520
6840,401520
6850,401520
6860,401520
6870,401520
6880,401520
6890,401520
6900,401520
6910,401520
6920,401520
6930,401520
6940,401520
6950,401520
6960,401520
6970,401520
6980,401520
6990,401520
7000,401520
7010,401520
7020,401520
7030,401520
7040,401520
7050,401520
7060,401520
7070,401520
7080,401520
7090,401520
7100,401520
7110,401520
7120,401520
7130,401520
7140,401520
7150,401520
7160,401520
7170,401520
7180,401520
7190,401520
7200,401520
7210,401520
7220,401520
7230,401520
7240,401520
7250,401520
7260,401520
7270,401520
7280,401520
7290,401520
7300,401520
7310,401520
7320,401520
7330,401520
7340,401520
7350,401520
7360,401520
7370,401520
7380,401520
7390,401520
7400,401520
7410,401520
7420,401520
7430,401520
7440,401520
7450,401520
7460,401520
7470,401520
7480,401520
7490,401520
7500,401520
7510,401520
7520,401520
7530,401520
7540,401520
7550,401520
7560,401520
7570,401520
7580,401520
7590,401520
7600,401520
7610,401520
7620,401520
7630,401520
7640,401520
7650,401520
7660,401520
7670,401520
7680,401520
7690,401520
7700,401520
7710,401520
7720,401520
7730,401520
7740,401520
7750,401520
7760,401520
7770,401520
7780,401520
7790,401520
7800,401520
7810,401520
7820,401520
7830,401520
7840,401520
7850,401520
7860,401520
7870,401520
7880,401520
7890,401520
7900,401520
7910,401520
7920,401520
7930,401520
7940,401520
7950,401520
7960,401520
7970,401520
7980,401520
7990,401520
8000,401520
8010,401520
8020,401520
8030,401520
8040,401520
8050,401520
8060,401520
8070,401520
8080,401520
8090,401520
8100,401520
8110,401520
8120,401520
8130,401520
8140,401520
8150,401520
8160,401520
8170,401520
8180,401520
8190,518174
8200,794736
8210,794736
8220,794736
8230,794736
8240,794736
8250,794736
8260,794736
8270,794736
8280,794736
8290,794736
8300,794736
8310,794736
8320,794736
8330,794736
8340,794736
8350,794736
8360,794736
8370,794736
8380,794736
8390,794736
8400,794736
8410,794736
8420,794736
8430,794736
8440,794736
8450,794736
8460,794736
8470,794736
8480,794736
8490,794736
8500,794736
8510,794736
8520,794736
8530,794736
8540,794736
8550,794736
8560,794736
8570,794736
8580,794736
8590,794736
8600,794736
8610,794736
8620,794736
8630,794736
8640,794736
8650,794736
8660,794736
8670,794736
8680,794736
8690,794736
8700,794736
8710,794736
8720,794736
8730,794736
8740,794736
8750,794736
8760,794736
8770,794736
8780,794736
8790,794736
8800,794736
8810,794736
8820,794736
8830,794736
8840,794736
8850,794736
8860,794736
8870,794736
8880,794736
8890,794736
8900,794736
8910,794736
8920,794736
8930,794736
8940,794736
8950,794736
8960,794736
8970,794736
8980,794736
8990,794736
9000,794736
9010,794736
9020,794736
9030,794736
9040,794736
9050,794736
9060,794736
9070,794736
9080,794736
9090,794736
9100,794736
9110,794736
9120,794736
9130,794736
9140,794736
9150,794736
9160,794736
9170,794736
9180,794736
9190,794736
9200,794736
9210,794736
9220,794736
9230,794736
9240,794736
9250,794736
9260,794736
9270,794736
9280,794736
9290,794736
9300,794736
9310,794736
9320,794736
9330,794736
9340,794736
9350,794736
9360,794736
9370,794736
9380,794736
9390,794736
9400,794736
9410,794736
9420,794736
9430,794736
9440,794736
9450,794736
9460,794736
9470,794736
9480,794736
9490,794736
9500,794736
9510,794736
9520,794736
9530,794736
9540,794736
9550,794736
9560,794736
9570,794736
9580,794736
9590,794736
9600,794736
9610,794736
9620,794736
9630,794736
9640,794736
9650,794736
9660,794736
9670,794736
9680,794736
9690,794736
9700,794736
9710,794736
9720,794736
9730,794736
9740,794736
9750,794736
9760,794736
9770,794736
9780,794736
9790,794736
9800,794736
9810,794736
9820,794736
9830,794736
9840,794736
9850,794736
9860,794736
9870,794736
9880,794736
9890,794736
9900,794736
9910,794736
9920,794736
9930,794736
9940,794736
9950,794736
9960,794736
9970,794736
9980,794736
9990,794736
10000,794736
10010,794736
10020,794736
10030,794736
10040,794736
10050,794736
10060,794736
10070,794736
10080,794736
10090,794736
10100,794736
10110,794736
10120,794736
10130,794736
10140,794736
10150,794736
10160,794736
10170,794736
10180,794736
10190,794736
10200,794736
10210,794736
10220,794736
10230,794736
10240,794736
10250,794736
10260,794736
10270,794736
10280,794736
10290,794736
10300,794736
10310,794736
10320,794736
10330,794736
10340,794736
10350,794736
10360,794736
10370,794736
10380,794736
10390,794736
10400,794736
10410,794736
10420,794736
10430,794736
10440,794736
10450,794736
10460,794736
10470,794736
10480,794736
10490,794736
10500,794736
10510,794736
10520,794736
10530,794736
10540,794736
10550,794736
10560,794736
10570,794736
10580,794736
10590,794736
10600,794736
10610,794736
10620,794736
10630,794736
10640,794736
10650,794736
10660,794736
10670,794736
10680,794736
10690,794736
10700,794736
10710,794736
10720,794736
10730,794736
10740,794736
10750,794736
10760,794736
10770,794736
10780,794736
10790,794736
10800,794736
10810,794736
10820,794736
10830,794736
10840,794736
10850,794736
10860,794736
10870,794736
10880,794736
10890,794736
10900,794736
10910,794736
10920,794736
10930,794736
10940,794736
10950,794736
10960,794736
10970,794736
10980,794736
10990,794736
11000,794736
11010,794736
11020,794736
11030,794736
11040,794736
11050,794736
11060,794736
11070,794736
11080,794736
11090,794736
11100,794736
11110,794736
11120,794736
11130,794736
11140,794736
11150,794736
11160,794736
11170,794736
11180,794736
11190,794736
11200,794736
11210,794736
11220,794736
11230,794736
11240,794736
11250,794736
11260,794736
11270,794736
11280,794736
11290,794736
11300,794736
11310,794736
11320,794736
11330,794736
11340,794736
11350,794736
11360,794736
11370,794736
11380,794736
11390,794736
11400,794736
11410,794736
11420,794736
11430,794736
11440,794736
11450,794736
11460,794736
11470,794736
11480,794736
11490,794736
11500,794736
11510,794736
11520,794736
11530,794736
11540,794736
11550,794736
11560,794736
11570,794736
11580,794736
11590,794736
11600,794736
11610,794736
11620,794736
11630,794736
11640,794736
11650,794736
11660,794736
11670,794736
11680,794736
11690,794736
11700,794736
11710,794736
11720,794736
11730,794736
11740,794736
11750,794736
11760,794736
11770,794736
11780,794736
11790,794736
11800,794736
11810,794736
11820,794736
11830,794736
11840,794736
11850,794736
11860,794736
11870,794736
11880,794736
11890,794736
11900,794736
11910,794736
11920,794736
11930,794736
11940,794736
11950,794736
11960,794736
11970,794736
11980,794736
11990,794736
12000,794736
12010,794736
12020,794736
12030,794736
12040,794736
12050,794736
12060,794736
12070,794736
12080,794736
12090,794736
12100,794736
12110,794736
12120,794736
12130,794736
12140,794736
12150,794736
12160,794736
12170,794736
12180,794736
12190,794736
12200,794736
12210,794736
12220,794736
12230,794736
12240,794736
12250,794736
12260,794736
12270,794736
12280,794736
12290,794736
12300,794736
12310,794736
12320,794736
12330,794736
12340,794736
12350,794736
12360,794736
12370,794736
12380,794736
12390,794736
12400,794736
12410,794736
12420,794736
12430,794736
12440,794736
12450,794736
12460,794736
12470,794736
12480,794736
12490,794736
12500,794736
12510,794736
12520,794736
12530,794736
12540,794736
12550,794736
12560,794736
12570,794736
12580,794736
12590,794736
12600,794736
12610,794736
12620,794736
12630,794736
12640,794736
12650,794736
12660,794736
12670,794736
12680,794736
12690,794736
12700,794736
12710,794736
12720,794736
12730,794736
12740,794736
12750,794736
12760,794736
12770,794736
12780,794736
12790,794736
12800,794736
12810,794736
12820,794736
12830,794736
12840,794736
12850,794736
12860,794736
12870,794736
12880,794736
12890,794736
12900,794736
12910,794736
12920,794736
12930,794736
12940,794736
12950,794736
12960,794736
12970,794736
12980,794736
12990,794736
13000,794736
13010,794736
13020,794736
13030,794736
13040,794736
13050,794736
13060,794736
13070,794736
13080,794736
13090,794736
13100,794736
13110,794736
13120,794736
13130,794736
13140,794736
13150,794736
13160,794736
13170,794736
13180,794736
13190,794736
13200,794736
13210,794736
13220,794736
13230,794736
13240,794736
13250,794736
13260,794736
13270,794736
13280,794736
13290,794736
13300,794736
13310,794736
13320,794736
13330,794736
13340,794736
13350,794736
13360,794736
13370,794736
13380,794736
13390,794736
13400,794736
13410,794736
13420,794736
13430,794736
13440,794736
13450,794736
13460,794736
13470,794736
13480,794736
13490,794736
13500,794736
13510,794736
13520,794736
13530,794736
13540,794736
13550,794736
13560,794736
13570,794736
13580,794736
13590,794736
13600,794736
13610,794736
